experimental_method,method_type,method_category
Boyd plot analysis,Experimental,Uptake/Release
Batch kinetic adsorption,Experimental,Uptake/Release
batch adsorption kinetics with HSDM,Experimental,Uptake/Release
IET,Experimental,Other
gravimetric uptake (constant pressure static method),Experimental,Uptake/Release
gravimetric sorption (Cahn microbalance),Experimental,Uptake/Release
pervaporation,Experimental,Membrane Permeation
IR spectroscopy,Experimental,Microimaging
Release rate measurement (Barrer-Vaughan method),Experimental,Uptake/Release
Neutron Transmission,Experimental,QENS
Kinetic Monte Carlo,Computational,Other
batch adsorption,Experimental,Uptake/Release
batch desorption,Experimental,Uptake/Release
Breakthrough experiment,Experimental,Column Dynamics
dynamic adsorption/desorption (Drehkorbadsorber),Experimental,Uptake/Release
adsorption uptake,Experimental,Uptake/Release
Confocal Laser Scanning Microscopy,Experimental,Microimaging
Interference Microscopy,Experimental,Microimaging
Single pellet moment technique,Experimental,Column Dynamics
Fixed-bed adsorption kinetics,Experimental,Column Dynamics
Calculated from effective pore diffusivity and isotherm,Computational,Other
Weisz-Prater analysis,Experimental,Other
isotopic exchange kinetics,Experimental,Uptake/Release
Non-equilibrium Monte Carlo,Computational,Other
batch sorption kinetics,Experimental,Uptake/Release
Batch uptake kinetics (HPDM/SPM),Experimental,Uptake/Release
Batch kinetic sorption,Experimental,Uptake/Release
batch uptake with HSDM regression,Experimental,Uptake/Release
Gravimetric method (IGA-002),Experimental,Uptake/Release
2H NMR,Experimental,Solid-state NMR
Gravimetric uptake with non-isothermal model,Experimental,Uptake/Release
gravimetric uptake (constant pressure static),Experimental,Uptake/Release
gravimetric sorption,Experimental,Uptake/Release
membrane permeation (pervaporation),Experimental,Membrane Permeation
IR-spectroscopic desorption curves,Experimental,Microimaging
batch desorption kinetics,Experimental,Uptake/Release
Quasielastic Neutron Scattering,Experimental,QENS
Neutron transmission,Experimental,QENS
Kinetic Monte Carlo (KMC) simulations,Computational,Other
Batch desorption kinetics,Experimental,Uptake/Release
adsorption kinetics,Experimental,Uptake/Release
Confocal laser scanning microscopy (CLSM),Experimental,Microimaging
interference microscopy (IFM),Experimental,Microimaging
Packed bed column uptake,Experimental,Column Dynamics
frequency response (FR),Experimental,FR
batch adsorption kinetics,Experimental,Uptake/Release
Calculated,Computational,Other
isotopic exchange,Experimental,Uptake/Release
batch kinetic sorption (particle diffusion model),Experimental,Uptake/Release
Batch kinetic experiments; HPDM and SPM analysis,Experimental,Uptake/Release
batch uptake kinetics (HPDM/SPM fitting),Experimental,Uptake/Release
"Batch uptake experiment, HSDM regression",Experimental,Uptake/Release
Column breakthrough fitting,Experimental,Column Dynamics
Gravimetric uptake (kinetic sorption),Experimental,Uptake/Release
