filename,doi,guest_molecule,KD_A,PLD_A,guest_composition,zeolite_name,std_zeolite_name,si_al_ratio,modified_ion,loading_value,loading_unit,diffusion_coefficient_value,diffusion_coefficient_unit,temperature_value,temperature_unit,concentration_value,concentration_unit,adsorption_loading_value,adsorption_loading_unit,pressure_value,pressure_unit,experimental_method,distinguishing_variable,method_type,method_category
S0009250904001885,10.1016/j.ces.2004.03.012,"1,4-dimethylbenzene",5.8,4.7,,ZSM-5 (DA*),MFI,,,,,6e-09,m2/s,723.0,K,0.00113,mol/L,,,0.0682,bar,Reaction-diffusion model fitting from catalytic xylene isomerization,"model: PFR; D_ratio: D_A=1000, D_B=100, D_C",Experimental,Other
S0009250904001885,10.1016/j.ces.2004.03.012,"1,4-dimethylbenzene",5.8,4.7,,ZSM-5 (DA*),MFI,,,,,2.8e-09,m2/s,723.0,K,0.00113,mol/L,,,0.0682,bar,Reaction-diffusion model fitting from catalytic xylene isomerization,"model: PFR; D_ratio: D_A=1000, D_B=1000, D_C",Experimental,Other
S0009250904001885,10.1016/j.ces.2004.03.012,"1,4-dimethylbenzene",5.8,4.7,,ZSM-5 (DA*),MFI,,,,,7.4e-09,m2/s,723.0,K,0.00113,mol/L,,,0.0682,bar,Reaction-diffusion model fitting from catalytic xylene isomerization,"model: CSTR; D_ratio: D_A=1000, D_B=100, D_C",Experimental,Other
S0009250904003240,10.1016/j.ces.2004.01.072,propene,4.5,4.1,,Davison 5A (C-521),LTA-Ca,,,,,2.4e-09,m2/s,323.0,K,,,,,0.011865658,bar,,,,
S0009250904003240,10.1016/j.ces.2004.01.072,propane,4.3,4.1,,Davison 5A (C-521),LTA-Ca,,,,,2.1e-06,m2/s,348.0,K,,,1.29,mmol/g,0.1399881,bar,,,,
S0009250908000353,10.1016/j.ces.2008.01.023,"ethanol, water",,4.1,8-9 wt% water in ethanol,NaA-ZA1,LTA-Na,,,,,1.41e-09,m2/s,323.0,K,,,,,1,bar,Pervaporation,,Experimental,Membrane Permeation
S0009250908000353,10.1016/j.ces.2008.01.023,water,2.65,4.1,,NaA-ZA1,LTA-Na,,,,,8.8e-10,m2/s,323.0,K,,,,,1,bar,Pervaporation,,Experimental,Membrane Permeation
S0009250908000353,10.1016/j.ces.2008.01.023,ethanol,4.3,4.1,,NaA-ZA1,LTA-Na,,,,,4.24e-08,m2/s,323.0,K,,,,,1,bar,Pervaporation,,Experimental,Membrane Permeation
S0009250908000353,10.1016/j.ces.2008.01.023,"ethanol, water",,4.1,8-9 wt% water in ethanol,NaA-ZA2,LTA-Na,,,,,1.48e-10,m2/s,323.0,K,,,,,1,bar,Pervaporation,,Experimental,Membrane Permeation
S0009250908000353,10.1016/j.ces.2008.01.023,water,2.65,4.1,,NaA-ZA2,LTA-Na,,,,,9.22e-11,m2/s,323.0,K,,,,,1,bar,Pervaporation,,Experimental,Membrane Permeation
S0009250908000353,10.1016/j.ces.2008.01.023,ethanol,4.3,4.1,,NaA-ZA2,LTA-Na,,,,,4.59e-09,m2/s,323.0,K,,,,,1,bar,Pervaporation,,Experimental,Membrane Permeation
S0009250908000353,10.1016/j.ces.2008.01.023,"ethanol, water",,4.1,8-9 wt% water in ethanol,NaA-ZA3,LTA-Na,,,,,3.01e-11,m2/s,323.0,K,,,,,1,bar,Pervaporation,,Experimental,Membrane Permeation
S0009250908000353,10.1016/j.ces.2008.01.023,water,2.65,4.1,,NaA-ZA3,LTA-Na,,,,,1.88e-11,m2/s,323.0,K,,,,,1,bar,Pervaporation,,Experimental,Membrane Permeation
S0009250908000353,10.1016/j.ces.2008.01.023,ethanol,4.3,4.1,,NaA-ZA3,LTA-Na,,,,,8.93e-10,m2/s,323.0,K,,,,,1,bar,Pervaporation,,Experimental,Membrane Permeation
S0009250908000353,10.1016/j.ces.2008.01.023,"ethanol, water",,4.1,8-9 wt% water in ethanol,NaA-ZA4,LTA-Na,,,,,2.35e-11,m2/s,323.0,K,,,,,1,bar,Pervaporation,,Experimental,Membrane Permeation
S0009250908000353,10.1016/j.ces.2008.01.023,water,2.65,4.1,,NaA-ZA4,LTA-Na,,,,,1.47e-11,m2/s,323.0,K,,,,,1,bar,Pervaporation,,Experimental,Membrane Permeation
S0009250908000353,10.1016/j.ces.2008.01.023,ethanol,4.3,4.1,,NaA-ZA4,LTA-Na,,,,,9.03e-10,m2/s,323.0,K,,,,,1,bar,Pervaporation,,Experimental,Membrane Permeation
S0009250908000353,10.1016/j.ces.2008.01.023,"ethanol, water",,4.1,8-9 wt% water in ethanol,NaA-ZA5,LTA-Na,,,,,1.8e-11,m2/s,323.0,K,,,,,1,bar,Pervaporation,,Experimental,Membrane Permeation
S0009250908000353,10.1016/j.ces.2008.01.023,water,2.65,4.1,,NaA-ZA5,LTA-Na,,,,,1.12e-11,m2/s,323.0,K,,,,,1,bar,Pervaporation,,Experimental,Membrane Permeation
S0009250908000353,10.1016/j.ces.2008.01.023,ethanol,4.3,4.1,,NaA-ZA5,LTA-Na,,,,,1.61e-10,m2/s,323.0,K,,,,,1,bar,Pervaporation,,Experimental,Membrane Permeation
S0009250909003935,10.1016/j.ces.2009.06.022,benzene,5.35,4.7,,silicalite-1,MFI-H,,,,,1.2e-17,m2/s,323.0,K,,,,,,,constant volumetric method (Raman spectroscopy),,Experimental,Uptake/Release
S0009250909008896,10.1016/j.ces.2009.12.044,propane,4.3,7.4,,13X,FAU-NaX,1.18,,,,7e-09,m2/s,303.0,K,,,2,molecules/unit cell,,,Molecular Dynamics,diffusion_type: self,Computational,MD
S0009250909008896,10.1016/j.ces.2009.12.044,propane,4.3,7.4,,13X,FAU-NaX,1.18,,,,9.2e-09,m2/s,303.0,K,,,2,molecules/unit cell,,,Molecular Dynamics,diffusion_type: transport,Computational,MD
S0009250909008896,10.1016/j.ces.2009.12.044,propane,4.3,7.4,,13X,FAU-NaX,1.18,,,,2.8e-09,m2/s,303.0,K,,,4,molecules/unit cell,,,Molecular Dynamics,diffusion_type: self,Computational,MD
S0009250909008896,10.1016/j.ces.2009.12.044,propane,4.3,7.4,,13X,FAU-NaX,1.18,,,,5.8e-09,m2/s,303.0,K,,,4,molecules/unit cell,,,Molecular Dynamics,diffusion_type: transport,Computational,MD
S0009250909008896,10.1016/j.ces.2009.12.044,propane,4.3,7.4,,13X,FAU-NaX,1.18,,,,1.2e-09,m2/s,303.0,K,,,8,molecules/unit cell,,,Molecular Dynamics,diffusion_type: self,Computational,MD
S0009250909008896,10.1016/j.ces.2009.12.044,propane,4.3,7.4,,13X,FAU-NaX,1.18,,,,2.9e-09,m2/s,303.0,K,,,8,molecules/unit cell,,,Molecular Dynamics,diffusion_type: transport,Computational,MD
S0009250909008896,10.1016/j.ces.2009.12.044,propane,4.3,7.4,,13X,FAU-NaX,1.18,,,,6.9e-10,m2/s,303.0,K,,,16,molecules/unit cell,,,Molecular Dynamics,diffusion_type: self,Computational,MD
S0009250909008896,10.1016/j.ces.2009.12.044,propane,4.3,7.4,,13X,FAU-NaX,1.18,,,,1.6e-09,m2/s,303.0,K,,,16,molecules/unit cell,,,Molecular Dynamics,diffusion_type: transport,Computational,MD
S0009250909008896,10.1016/j.ces.2009.12.044,propane,4.3,7.4,,13X,FAU-NaX,1.18,,,,2.8e-10,m2/s,303.0,K,,,32,molecules/unit cell,,,Molecular Dynamics,diffusion_type: self,Computational,MD
S0009250909008896,10.1016/j.ces.2009.12.044,propane,4.3,7.4,,13X,FAU-NaX,1.18,,,,2.8e-10,m2/s,303.0,K,,,32,molecules/unit cell,,,Molecular Dynamics,diffusion_type: transport,Computational,MD
S0009250909008896,10.1016/j.ces.2009.12.044,propene,4.5,7.4,,13X,FAU-NaX,1.18,,,,7.8e-10,m2/s,303.0,K,,,16,molecules/unit cell,,,Molecular Dynamics,diffusion_type: self,Computational,MD
S0009250909008896,10.1016/j.ces.2009.12.044,propene,4.5,7.4,,13X,FAU-NaX,1.18,,,,6.7e-08,m2/s,303.0,K,,,16,molecules/unit cell,,,Molecular Dynamics,diffusion_type: transport,Computational,MD
S0009250909008896,10.1016/j.ces.2009.12.044,propene,4.5,7.4,,13X,FAU-NaX,1.18,,,,3.2e-10,m2/s,303.0,K,,,32,molecules/unit cell,,,Molecular Dynamics,diffusion_type: self,Computational,MD
S0009250909008896,10.1016/j.ces.2009.12.044,propene,4.5,7.4,,13X,FAU-NaX,1.18,,,,3.1e-09,m2/s,303.0,K,,,32,molecules/unit cell,,,Molecular Dynamics,diffusion_type: transport,Computational,MD
S0009250909008896,10.1016/j.ces.2009.12.044,2-methylpropane,5.0,7.4,,13X,FAU-NaX,1.18,,,,9.67e-10,m2/s,373.0,K,,,2,molecules/unit cell,,,Molecular Dynamics,diffusion_type: self,Computational,MD
S0009250909008896,10.1016/j.ces.2009.12.044,2-methylpropane,5.0,7.4,,13X,FAU-NaX,1.18,,,,2.13e-09,m2/s,373.0,K,,,2,molecules/unit cell,,,Molecular Dynamics,diffusion_type: transport,Computational,MD
S0009250909008896,10.1016/j.ces.2009.12.044,2-methylpropane,5.0,7.4,,13X,FAU-NaX,1.18,,,,5.55e-10,m2/s,373.0,K,,,4,molecules/unit cell,,,Molecular Dynamics,diffusion_type: self,Computational,MD
S0009250909008896,10.1016/j.ces.2009.12.044,2-methylpropane,5.0,7.4,,13X,FAU-NaX,1.18,,,,1.2e-09,m2/s,373.0,K,,,4,molecules/unit cell,,,Molecular Dynamics,diffusion_type: transport,Computational,MD
S0009250909008896,10.1016/j.ces.2009.12.044,2-methylpropane,5.0,7.4,,13X,FAU-NaX,1.18,,,,8.65e-11,m2/s,373.0,K,,,8,molecules/unit cell,,,Molecular Dynamics,diffusion_type: self,Computational,MD
S0009250909008896,10.1016/j.ces.2009.12.044,2-methylpropane,5.0,7.4,,13X,FAU-NaX,1.18,,,,1.76e-10,m2/s,373.0,K,,,8,molecules/unit cell,,,Molecular Dynamics,diffusion_type: transport,Computational,MD
S0009250909008896,10.1016/j.ces.2009.12.044,2-methylpropane,5.0,7.4,,13X,FAU-NaX,1.18,,,,9.73e-12,m2/s,373.0,K,,,16,molecules/unit cell,,,Molecular Dynamics,diffusion_type: self,Computational,MD
S0009250909008896,10.1016/j.ces.2009.12.044,2-methylpropane,5.0,7.4,,13X,FAU-NaX,1.18,,,,1.18e-11,m2/s,373.0,K,,,16,molecules/unit cell,,,Molecular Dynamics,diffusion_type: transport,Computational,MD
S0009250909008896,10.1016/j.ces.2009.12.044,2-methylpropane,5.0,7.4,,13X,FAU-NaX,1.18,,,,4.51e-12,m2/s,373.0,K,,,24,molecules/unit cell,,,Molecular Dynamics,diffusion_type: self,Computational,MD
S0009250909008896,10.1016/j.ces.2009.12.044,2-methylpropane,5.0,7.4,,13X,FAU-NaX,1.18,,,,9.83e-13,m2/s,373.0,K,,,24,molecules/unit cell,,,Molecular Dynamics,diffusion_type: transport,Computational,MD
S0009250915002675,10.1016/j.ces.2015.04.007,carbon dioxide,3.3,4.1,,Zeolite 5A (Sylobead MS 522),LTA-CaA,,,,,3.49e-06,m2/s,298.0,K,,,,,0.02,bar,Nonlinear Frequency Response (NFR),coefficient: D_eff,Experimental,FR
S000925091500514X,10.1016/j.ces.2015.07.029,propene,4.5,3.65,,DDR II,DDR,1600,,,,2.48e-16,m2/s,296.0,K,,,,,0.01,bar,Interference Microscopy (IFM),analysis_method: constant D fit of uptake curves (a); process: adsorption,Experimental,Microimaging
S000925091500514X,10.1016/j.ces.2015.07.029,propene,4.5,3.65,,DDR II,DDR,1600,,,,2.58e-16,m2/s,296.0,K,,,,,0.01,bar,Interference Microscopy (IFM),analysis_method: maximum slope of root-t-plot (b); process: adsorption,Experimental,Microimaging
S000925091500514X,10.1016/j.ces.2015.07.029,propene,4.5,3.65,,DDR II,DDR,1600,,,,1.65e-16,m2/s,296.0,K,,,,,0.01,bar,Interference Microscopy (IFM),analysis_method: rate analysis (c); process: adsorption,Experimental,Microimaging
S000925091500514X,10.1016/j.ces.2015.07.029,propene,4.5,3.65,,DDR II,DDR,1600,,,,4.4e-16,m2/s,296.0,K,,,,,0.01,bar,Interference Microscopy (IFM),analysis_method: fit of radial profiles to constant D model (f); process: adsorption,Experimental,Microimaging
S000925091500514X,10.1016/j.ces.2015.07.029,propene,4.5,3.65,,DDR II,DDR,1600,,,,1.02e-16,m2/s,296.0,K,,,,,0.01,bar,Interference Microscopy (IFM),analysis_method: constant D fit of uptake curves (a); process: desorption,Experimental,Microimaging
S000925091500514X,10.1016/j.ces.2015.07.029,propene,4.5,3.65,,DDR II,DDR,1600,,,,1.08e-16,m2/s,296.0,K,,,,,0.01,bar,Interference Microscopy (IFM),analysis_method: maximum slope of root-t-plot (b); process: desorption,Experimental,Microimaging
S000925091500514X,10.1016/j.ces.2015.07.029,propene,4.5,3.65,,DDR II,DDR,1600,,,,1.65e-16,m2/s,296.0,K,,,,,0.01,bar,Interference Microscopy (IFM),analysis_method: rate analysis (c); process: desorption,Experimental,Microimaging
S000925091500514X,10.1016/j.ces.2015.07.029,propene,4.5,3.65,,DDR II,DDR,1600,,,,2.4e-16,m2/s,296.0,K,,,,,0.01,bar,Interference Microscopy (IFM),analysis_method: fit of radial profiles to constant D model (f); process: desorption,Experimental,Microimaging
S000925091500514X,10.1016/j.ces.2015.07.029,propene,4.5,3.65,,DDR II,DDR,1600,,,,1e-17,m2/s,296.0,K,,,,,0.01,bar,Interference Microscopy (IFM),direction: axial; process: desorption; analysis_method: estimate from short time radial profiles in central region,Experimental,Microimaging
S000925091500514X,10.1016/j.ces.2015.07.029,propene,4.5,3.65,,DDR II,DDR,1600,,,,4.34e-16,m2/s,323.0,K,,,,,,,Interference Microscopy (IFM),analysis_method: constant D fit of uptake curves (a); process: desorption,Experimental,Microimaging
S000925091500514X,10.1016/j.ces.2015.07.029,propene,4.5,3.65,,DDR II,DDR,1600,,,,5e-16,m2/s,323.0,K,,,,,,,Interference Microscopy (IFM),analysis_method: maximum slope of root-t-plot (b); process: desorption,Experimental,Microimaging
S000925091500514X,10.1016/j.ces.2015.07.029,propene,4.5,3.65,,DDR II,DDR,1600,,,,5.24e-16,m2/s,323.0,K,,,,,,,Interference Microscopy (IFM),analysis_method: rate analysis (c); process: desorption,Experimental,Microimaging
S000925091500514X,10.1016/j.ces.2015.07.029,propene,4.5,3.65,,DDR II,DDR,1600,,,,1.02e-15,m2/s,323.0,K,,,,,,,Interference Microscopy (IFM),analysis_method: fit of radial profiles to constant D model (f); process: desorption,Experimental,Microimaging
S000925091500514X,10.1016/j.ces.2015.07.029,propene,4.5,3.65,,DDR II,DDR,1600,,,,4.5e-17,m2/s,323.0,K,,,,,,,Interference Microscopy (IFM),direction: axial; process: desorption; analysis_method: estimate from short time radial profiles in central region,Experimental,Microimaging
S000925091500514X,10.1016/j.ces.2015.07.029,propene,4.5,3.65,,DDR II,DDR,1600,,,,1.42e-15,m2/s,353.0,K,,,,,0.21,bar,Interference Microscopy (IFM),analysis_method: constant D fit of uptake curves (a); process: desorption,Experimental,Microimaging
S000925091500514X,10.1016/j.ces.2015.07.029,propene,4.5,3.65,,DDR II,DDR,1600,,,,1.35e-15,m2/s,353.0,K,,,,,0.21,bar,Interference Microscopy (IFM),analysis_method: maximum slope of root-t-plot (b); process: desorption,Experimental,Microimaging
S000925091500514X,10.1016/j.ces.2015.07.029,propene,4.5,3.65,,DDR II,DDR,1600,,,,1.63e-15,m2/s,353.0,K,,,,,0.21,bar,Interference Microscopy (IFM),analysis_method: rate analysis (c); process: desorption,Experimental,Microimaging
S000925091500514X,10.1016/j.ces.2015.07.029,propene,4.5,3.65,,DDR II,DDR,1600,,,,2.88e-15,m2/s,353.0,K,,,,,0.21,bar,Interference Microscopy (IFM),analysis_method: fit of radial profiles to constant D model (f); process: desorption,Experimental,Microimaging
S000925091500514X,10.1016/j.ces.2015.07.029,propene,4.5,3.65,,DDR II,DDR,1600,,,,1.5e-16,m2/s,353.0,K,,,,,0.21,bar,Interference Microscopy (IFM),direction: axial; process: desorption; analysis_method: estimate from short time radial profiles in central region,Experimental,Microimaging
S0009250918300277,10.1016/j.ces.2018.01.027,propane,4.3,4.7,,ZSM-5 (silicalite),MFI-H,,,,,1e-09,m2/s,300.0,K,,,8,molecules/unit cell,,,Molecular Dynamics (MD),,Computational,MD
S0009250919309133,10.1016/j.ces.2019.115423,carbon dioxide,3.3,7.4,,13X,FAU-NaX,,,,,2.7e-06,m2/s,,,,,,,,,,,,
S0009250919309133,10.1016/j.ces.2019.115423,nitrogen,3.64,7.4,,13X,FAU-NaX,,,,,3.2e-06,m2/s,,,,,,,,,,,,
S0009250920300968,10.1016/j.ces.2020.115564,carbon dioxide,3.3,7.4,10%CO2/90%N2,200 cpsi,FAU,,,,,1.7e-07,m2/s,298.0,K,,,3.6,mmol/g,5,bar,Breakthrough modeling (LDF),U: 0.5 cm/s,Experimental,Column Dynamics
S0009250920300968,10.1016/j.ces.2020.115564,carbon dioxide,3.3,7.4,10%CO2/90%N2,200 cpsi,FAU,,,,,1.2e-07,m2/s,298.0,K,,,5.6,mmol/g,5,bar,Breakthrough modeling (LDF),U: 0.9 cm/s,Experimental,Column Dynamics
S0009250920300968,10.1016/j.ces.2020.115564,carbon dioxide,3.3,7.4,10%CO2/90%N2,200 cpsi,FAU,,,,,7e-08,m2/s,298.0,K,,,5.4,mmol/g,5,bar,Breakthrough modeling (LDF),U: 1.8 cm/s,Experimental,Column Dynamics
S0009250920300968,10.1016/j.ces.2020.115564,carbon dioxide,3.3,7.4,10%CO2/90%N2,400 cpsi,FAU,,,,,1.1e-07,m2/s,298.0,K,,,4.2,mmol/g,5,bar,Breakthrough modeling (LDF),U: 0.5 cm/s,Experimental,Column Dynamics
S0009250920300968,10.1016/j.ces.2020.115564,carbon dioxide,3.3,7.4,10%CO2/90%N2,400 cpsi,FAU,,,,,8e-08,m2/s,298.0,K,,,4.9,mmol/g,5,bar,Breakthrough modeling (LDF),U: 0.9 cm/s,Experimental,Column Dynamics
S0009250920300968,10.1016/j.ces.2020.115564,carbon dioxide,3.3,7.4,10%CO2/90%N2,400 cpsi,FAU,,,,,7e-08,m2/s,298.0,K,,,5.3,mmol/g,5,bar,Breakthrough modeling (LDF),U: 1.8 cm/s,Experimental,Column Dynamics
S0009250920300968,10.1016/j.ces.2020.115564,carbon dioxide,3.3,7.4,10%CO2/90%N2,600 cpsi,FAU,,,,,4e-09,m2/s,298.0,K,,,4.4,mmol/g,5,bar,Breakthrough modeling (LDF),U: 0.5 cm/s,Experimental,Column Dynamics
S0009250920300968,10.1016/j.ces.2020.115564,carbon dioxide,3.3,7.4,10%CO2/90%N2,600 cpsi,FAU,,,,,3e-09,m2/s,298.0,K,,,6.2,mmol/g,5,bar,Breakthrough modeling (LDF),U: 0.9 cm/s,Experimental,Column Dynamics
S0009250920300968,10.1016/j.ces.2020.115564,carbon dioxide,3.3,7.4,10%CO2/90%N2,600 cpsi,FAU,,,,,2e-09,m2/s,298.0,K,,,7.1,mmol/g,5,bar,Breakthrough modeling (LDF),U: 1.8 cm/s,Experimental,Column Dynamics
S0009250921005315,10.1016/j.ces.2021.116966,methane,3.8,4.7,,MFI,MFI,∞,,,,1.02e-08,m2/s,300.0,K,,,5,molecules/u.c.,,,Molecular Dynamics,,Computational,MD
S0009250922003177,10.1016/j.ces.2022.117733,stilbene,7.0,7.4,,Zeolite Y,FAU-NaY,,,,,1.8e-12,m2/s,353.0,K,0.0001,mol/L,,,,,ZLC,particle_size: 90 μm; correction: raw,Experimental,ZLC
S0009250922003177,10.1016/j.ces.2022.117733,stilbene,7.0,7.4,,Zeolite Y,FAU-NaY,,,,,6.4e-12,m2/s,353.0,K,0.0001,mol/L,,,,,ZLC,particle_size: 180 μm; correction: raw,Experimental,ZLC
S0009250922003177,10.1016/j.ces.2022.117733,stilbene,7.0,7.4,,Zeolite Y,FAU-NaY,,,,,2.1e-11,m2/s,353.0,K,0.0001,mol/L,,,,,ZLC,particle_size: 180 μm; correction: corrected,Experimental,ZLC
S0009250922003177,10.1016/j.ces.2022.117733,stilbene,7.0,7.4,,Zeolite Y,FAU-NaY,,,,,8.8e-12,m2/s,353.0,K,0.0001,mol/L,,,,,ZLC,particle_size: 180 μm; correction: modelled corrected,Experimental,ZLC
S000925092200402X,10.1016/j.ces.2022.117818,methane,3.8,6.5,,Cu-mordenite,MOR-Cu,13,Cu,4.5,wt%,2.7e-08,m2/s,473.0,K,,,,,1,bar,,,,
S000925092200971X,10.1016/j.ces.2022.118386,"nitrogen, decane",,7.1,,LTL zeolite,LTL,,,,,8.69e-08,m2/s,,,,,,,1.01325,bar,Computational Fluid Dynamics (CFD),tensor_type: original; component: xx,Computational,Other
S000925092200971X,10.1016/j.ces.2022.118386,"nitrogen, decane",,7.1,,LTL zeolite,LTL,,,,,1.77e-11,m2/s,,,,,,,1.01325,bar,Computational Fluid Dynamics (CFD),tensor_type: original; component: xy,Computational,Other
S000925092200971X,10.1016/j.ces.2022.118386,"nitrogen, decane",,7.1,,LTL zeolite,LTL,,,,,1.89e-11,m2/s,,,,,,,1.01325,bar,Computational Fluid Dynamics (CFD),tensor_type: original; component: xz,Computational,Other
S000925092200971X,10.1016/j.ces.2022.118386,"nitrogen, decane",,7.1,,LTL zeolite,LTL,,,,,2.28e-11,m2/s,,,,,,,1.01325,bar,Computational Fluid Dynamics (CFD),tensor_type: original; component: yx,Computational,Other
S000925092200971X,10.1016/j.ces.2022.118386,"nitrogen, decane",,7.1,,LTL zeolite,LTL,,,,,8.67e-08,m2/s,,,,,,,1.01325,bar,Computational Fluid Dynamics (CFD),tensor_type: original; component: yy,Computational,Other
S000925092200971X,10.1016/j.ces.2022.118386,"nitrogen, decane",,7.1,,LTL zeolite,LTL,,,,,1.11e-11,m2/s,,,,,,,1.01325,bar,Computational Fluid Dynamics (CFD),tensor_type: original; component: yz,Computational,Other
S000925092200971X,10.1016/j.ces.2022.118386,"nitrogen, decane",,7.1,,LTL zeolite,LTL,,,,,5.92e-11,m2/s,,,,,,,1.01325,bar,Computational Fluid Dynamics (CFD),tensor_type: original; component: zx,Computational,Other
S000925092200971X,10.1016/j.ces.2022.118386,"nitrogen, decane",,7.1,,LTL zeolite,LTL,,,,,1.52e-11,m2/s,,,,,,,1.01325,bar,Computational Fluid Dynamics (CFD),tensor_type: original; component: zy,Computational,Other
S000925092200971X,10.1016/j.ces.2022.118386,"nitrogen, decane",,7.1,,LTL zeolite,LTL,,,,,8.7e-08,m2/s,,,,,,,1.01325,bar,Computational Fluid Dynamics (CFD),tensor_type: original; component: zz,Computational,Other
